ab: ab
lycus: lycus
lydia: lydia
lyre: lyre
maccabees: maccabees
maced: maced
macedon: macedon
macedonia: macedonia
macedonian: macedonian,macedonians
macellum: macellum
machine: machine,machines
mackintosh: mackintosh
madman: madman
madness: madness
magazine: magazine,magazines
maggiore: maggiore
magi: magi
magic: magic
magical: magical
magician: magician
magistracy: magistracy
magistrate: magistrate,magistrates
magnanimity: magnanimity
magnificence: magnificence
magnificent: magnificent
magnificently: magnificently
magnify: magnified,magnifies,magnify
magnitude: magnitude
magus: magus
mahomet: mahomet
mahometan: mahometan
maid: maid
main: main
maintain: maintain,maintained,maintaining,maintains
maintenance: maintenance
maitre: maitres
majestatis: majestatis
majestic: majestic
majesty: majesty
major: major
majorem: majorem
majority: majority
mal: mal
malchus: malchus
malcolm: malcolm
malcontent: malcontents
male: male,males
malefactor: malefactor,malefactors
malevolent: malevolent
malice: malice
malicious: malicious
maliciously: maliciously
malignant: malignant
malignity: malignity
mall: mall
malo: malo
malthus: malthus
malum: malum
malversation: malversation
mamas: mamas
manage: manage,managed,managing
management: management
manchester: manchester
mancipation: mancipation
mandate: mandate,mandates
mandatum: mandatum
manes: manes
mangled: mangled
manhood: manhood
mani: mani
manifest: manifest,manifested,manifests
manifestly: manifestly
manifesto: manifesto,manifestoes,manifestos
mankind: mankind
manly: manly
manner: manner
manners: manners
mansion: mansion
manso: manso
mantle: mantle,mantles
mantuan: mantuan
manufacture: manufacture,manufactured,manufactures
manufacturer: manufacturer
manumission: manumission
manus: manus
manuscript: manuscript,manuscripts
map: map,maps
marble: marble,marbles
marc: marc
march: march,marched,marches,marching
marcia: marcia
mare: mare,mares
mari: mari
maria: maria
marine: marines
mariner: mariners
maris: maris
maritime: maritime
mark: mark,marked,marking,marks
marked: marked
market: market,markets
maros: maros
marquis: marquis
marriage: marriage,marriages
married: married
marry: married
mars: mars
marshy: marshy
mart: mart
martial: martial
martin: martin
martyr: martyr,martyrs
martyrdom: martyrdom,martyrdoms
martyria: martyria
martyrologium: martyrologium
martyrs: martyrs
marvellous: marvellous
marvellously: marvellously
marvelous: marvelous
mary: mary
mask: mask
mass: mass
massacre: massacre,massacred,massacres
massy: massy
mast: mast
master: master,masters
masterly: masterly
masters: masters
matchless: matchless
material: material,materials
materially: materially
maternal: maternal
matrimonii: matrimonii
matron: matron,matrons
matter: matter,matters
matthew: matthew
mature: mature,matured
maturely: maturely
maturity: maturity
maurice: maurice
mauritania: mauritania
mauritanian: mauritanian
maxim: maxim,maxims
maximin: maximin
maximus: maximus
maze: maze
mea: mea
meadow: meadows
meagre: meagre
meal: meal
meander: meander
meaning: meaning
meanly: meanly
meanness: meanness
measure: measure,measured,measures
measurement: measurement
mecca: mecca
mechanic: mechanic
mechanical: mechanical
mecum: mecum
med: med
medal: medal,medals
media: media
mediation: mediation
mediocrity: mediocrity
meditate: meditate,meditated,meditating
meditation: meditation,meditations
mediterranean: mediterranean
medium: medium
medley: medley
meekness: meekness
meet: meet,meeting,meets,met
meeting: meeting,meetings
megara: megara
mela: mela
melancholy: melancholy
melt: melted
melting: melting
mem: mem
memoir: memoir
memoirs: memoirs
memorable: memorable
memorial: memorial,memorials
memory: memory
menace: menace,menaced,menaces
menacing: menacing
menelaus: menelaus
menial: menial,menials
mens: mens
mense: mense
menta: menta
mental: mental
mention: mention,mentioned,mentions
mentis: mentis
mercenary: mercenary
merchandise: merchandise,merchandises
merchant: merchant,merchants
merciful: merciful
mercury: mercury
mercy: mercy
mere: mere
meridian: meridian
merit: merit,merited,merits
meritorious: meritorious
merovingian: merovingian
mesopotamia: mesopotamia
message: message
messenger: messenger,messengers
messiah: messiah
meta: meta
metal: metal,metals
metamorphosis: metamorphoses
metaphor: metaphor,metaphors
metaphorical: metaphorical
metaphysical: metaphysical
metaphysics: metaphysics
meteor: meteor,meteors
method: method,methods
metropolis: metropolis
metropolitan: metropolitan
meuse: meuse
mexico: mexico
mica: mica
midas: midas
middle: middle
midland: midland
midnight: midnight
midst: midst
midway: midway
mighty: mighty
migrate: migrated
milan: milan
mild: mild,milder,mildest
mildness: mildness
mile: mile,miles
miles: miles
milesian: milesian
military: military
militate: militated
milk: milk
miller: millers
milliarium: milliarium
milner: milner
mimi: mimi
mimic: mimic
mind: mind,minds
mineral: mineral
minerva: minerva
mingle: mingled,mingling
mingling: mingling
miniature: miniature
minister: minister,ministers
ministers: ministers
minor: minor
minority: minority
minos: minos
mint: mint,mints
minute: minute,minutes
minutely: minutely
minuteness: minuteness
miracle: miracle,miracles
miraculous: miraculous
miraculously: miraculously
mirror: mirror
misanthrope: misanthrope
misapprehend: misapprehending
misapprehension: misapprehension
misbehavior: misbehavior
miscellaneous: miscellaneous
miscellany: miscellanies
mischief: mischief,mischiefs
mischievous: mischievous
misconduct: misconduct
miserable: miserable
miserere: miserere
misery: miseries,misery
misfortune: misfortune,misfortunes
mislead: misled
misplace: misplaced
misrepresent: misrepresent,misrepresented
misrepresentation: misrepresentation
missa: missa
missile: missile
mission: mission
missionary: missionaries,missionary
missis: missis
missus: missus
mist: mist
mistake: mistake,mistaken,mistakes
mistaken: mistaken
mistranslation: mistranslation
mistress: mistress
mistrust: mistrust
misunderstand: misunderstood
mitigate: mitigated
mitigating: mitigating
mitten: mittens
mix: mixed
mixed: mixed
mixture: mixture
mob: mobs
mode: mode,modes
model: model,models
modelling: modelling
moderate: moderate,moderated,moderating
moderation: moderation
modern: modern,moderns
moderne: moderne
modest: modest
modestly: modestly
modesty: modesty
modification: modification,modifications
modify: modified,modify
modius: modius
modo: modo
moi: moi
moisture: moisture
mole: moles
molestation: molestation
moment: moment,moments
momentary: momentary
momentous: momentous
mon: mon
monarch: monarch,monarchs
monarchy: monarchy
monastery: monasteries
monastic: monastic
money: money
monk: monk,monks
monkery: monkery
monks: monks
monody: monody
monogram: monogram,monograms
monopoly: monopoly
monosyllable: monosyllable
mons: mons
monster: monster,monsters
monstrous: monstrous
mont: mont
montanist: montanist
month: month,months
monument: monument,monuments
monumental: monumental
moon: moon
moor: moor,moors
moorish: moorish
moors: moors
mor: mor
moral: moral,morals
moralist: moralist
morality: morality
morass: morasses
morel: morel
mores: mores
morning: morning
morose: morose
mort: mort
mortal: mortal,mortals
mortally: mortally
mortem: mortem
mortification: mortification
mortified: mortified
mortify: mortified
mortis: mortis
morts: morts
mosaic: mosaic
moselle: moselle
moses: moses
mosque: mosque
mosul: mosul
mot: mot
mother: mother,mothers
motion: motion,motions
motive: motive,motives
mould: mould,moulded
moulder: mouldering
mound: mounds
mount: mount,mounted
mountain: mountain,mountains
mountains: mountains
mourn: mourn,mourned
mourner: mourner
mournful: mournful
mourning: mourning
mouth: mouth,mouths
movable: movable
moyle: moyle
mss: mss
mud: mud
mule: mule
mulier: mulier
multiplication: multiplication
multiplicity: multiplicity
multiply: multiplied,multiplies,multiply,multiplying
multitude: multitude,multitudes
multo: multo
multum: multum
mundari: mundari
municipal: municipal
munificence: munificence
munificent: munificent
mural: mural
murder: murder,murdered,murdering,murders
murderer: murderers
murmur: murmur,murmurs
muse: muse,muses
muses: muses
mushroom: mushrooms
music: music
muster: muster
muta: muta
mutilate: mutilated
mutilation: mutilation
mutineer: mutineers
mutiny: mutiny
mutter: mutters
mutual: mutual
mutually: mutually
myriad: myriads
myrmidon: myrmidons
mysterious: mysterious
mystery: mysteries,mystery
mystic: mystic
mysticism: mysticism
mythology: mythology
nabal: nabal
nail: nailed,nails
naked: naked
nam: nam
nameless: nameless
namesake: namesake
naples: naples
nare: nares
narration: narration
narrative: narrative,narratives
narrow: narrow,narrowest
narrowly: narrowly
nat: nat
nate: nates
nation: nation,nations
national: national
nations: nations
native: native,natives
nativity: nativity
natu: natu
natura: natura
natural: natural
naturally: naturally
nature: nature
naughty: naughty
naval: naval
navigable: navigable
navigation: navigation
navigator: navigator,navigators
navy: navy
nazarene: nazarene
nazarenes: nazarenes
nazareth: nazareth
nearer: nearer
neatly: neatly
necessarium: necessarium
necesse: necesse
necessity: necessities,necessity
neck: neck,necks
neckar: neckar
necklace: necklace
needless: needless
nefas: nefas
negative: negative
neglect: neglect,neglected,neglecting
negligence: negligence
negligent: negligent
negotiate: negotiate,negotiated,negotiating
negotiation: negotiation,negotiations
negro: negroes
negroes: negroes
neighbor: neighbors
neighborhood: neighborhood
neighboring: neighboring
nemean: nemean
nemesis: nemesis
nemo: nemo
neophyte: neophyte
nephew: nephew,nephews
neptune: neptune
nerve: nerves
nestor: nestor
netherlands: netherlands
newly: newly
news: news
nice: nice,nicest
nicene: nicene
niece: niece
night: night,nights
nihil: nihil
nile: nile
nineteen: nineteen
ninth: ninth
nisi: nisi
nitre: nitre
nobility: nobility
nobis: nobis
noble: noble,nobler,nobles,noblest
nobleman: nobleman
noblesse: noblesse
nobly: nobly
nocturnal: nocturnal
noise: noise
noisy: noisy
nomen: nomen
nomina: nomina
nominal: nominal
nominate: nominate,nominated,nominating
nomination: nomination
nomine: nomine
nonsense: nonsense
noonday: noonday
norman: normans
north: north
northern: northern
northward: northward
nose: nose
nota: nota
notary: notary
note: note,notes
notice: notice,noticed,notices
notion: notion,notions
notitia: notitia
notorious: notorious
noun: noun
nourish: nourish,nourished
nourishment: nourishment
nouveaux: nouveaux
nova: nova
novatian: novatian
november: november
novitiate: novitiate
nullus: nullus
num: num
numa: numa
numerical: numerical
numero: numero
numeros: numeros
numerous: numerous
numidian: numidian
numine: numine
nummi: nummi
nun: nuns
nunc: nunc
nuncio: nuncio
nuncupatory: nuncupatory
nunquam: nunquam
nuptials: nuptials
nurse: nurse
nyssa: nyssa
oar: oar,oars
oath: oath,oaths
ob: ob
obdurate: obdurate
obedience: obedience
obedient: obedient
obelisk: obelisk,obelisks
obelisks: obelisks
obey: obey,obeyed,obeying
object: object,objecting,objects
objection: objection,objections
oblatio: oblatio
oblation: oblations
obligation: obligation,obligations
oblige: oblige,obliged,obliges
obliged: obliged
oblique: oblique
obliterate: obliterated
oblivion: oblivion
oblong: oblong
obnoxious: obnoxious
obscene: obscene
obscure: obscure
obscurely: obscurely
obscurity: obscurity
obsequious: obsequious
observance: observance
observation: observation,observations
observations: observations
observe: observe,observed,observes,observing
observer: observer,observers
obsidional: obsidional
obsolete: obsolete
obstacle: obstacle,obstacles
obstetrix: obstetrix
obstinacy: obstinacy
obstinate: obstinate
obstinately: obstinately
obstruct: obstructed
obtrude: obtrudes
obtuse: obtuse
obvious: obvious
occasion: occasion,occasioned,occasions
occasional: occasional
occasionally: occasionally
occult: occult
occupant: occupant
occupation: occupation,occupations
occupy: occupied,occupies,occupy
occur: occur,occurred,occurs
occurrence: occurrences
ocean: ocean
ocular: ocular
oculi: oculi
od: od
odd: odd
ode: odes
odious: odious
odium: odium
odor: odors
offence: offence,offences
offend: offend,offended,offending
offended: offended
offender: offender,offenders
offensive: offensive
offer: offer,offered,offering,offers
offering: offering,offerings
office: office,offices
officer: officer,officers
official: official
officiate: officiate,officiated,officiating
officious: officious
officiousness: officiousness
offspring: offspring
oil: oil
olive: olive
olives: olives
olympiad: olympiads
olympic: olympic
olympus: olympus
omar: omar
omen: omen,omens
omina: omina
omission: omission
omit: omit,omits,omitting
omnes: omnes
omni: omni
omnibus: omnibus
omnipotence: omnipotence
omnipotent: omnipotent
omnium: omnium
online: online
onset: onset
ont: ont
op: op
ope: ope
openly: openly
opera: opera
operate: operates
operation: operation,operations
ophites: ophites
opinion: opinion,opinions
opportunity: opportunities,opportunity
oppose: oppose,opposed,opposing
opposition: opposition
oppress: oppress,oppressed
oppressed: oppressed
oppression: oppression
oppressive: oppressive
oppressor: oppressor,oppressors
opprobrious: opprobrious
optimate: optimates
optime: optime
option: option
opulence: opulence
opulent: opulent
oracle: oracle,oracles
oracula: oracula
oraculum: oraculum
orang: orang
oration: oration,orations
orations: orations
orator: orator,orators
oratory: oratory
ordain: ordain,ordained
orderly: orderly
ordinance: ordinance
ordinary: ordinary
ordination: ordination
ordo: ordo
ore: ore
organization: organization
orient: orient
oriental: oriental,orientals
orientalism: orientalism
orientals: orientals
origin: origin
original: original,originals
originally: originally
originate: originated
origines: origines
orion: orion
ornament: ornamented,ornaments
orphan: orphan,orphans
orpheus: orpheus
orthodox: orthodox
orthodoxy: orthodoxy
osiris: osiris
ossian: ossian
ostensible: ostensible
ostentation: ostentation
ostentatious: ostentatious
ostentatiously: ostentatiously
ostracism: ostracism
ostrich: ostriches
othman: othman
otium: otium
otter: otter
ounce: ounces
outlaw: outlaws
outline: outlines
outnumber: outnumbered
outrage: outrages
outstrip: outstrip,outstrips
outward: outward
oval: oval
overbalance: overbalanced
overflow: overflowed,overflowing,overflows
overlook: overlook,overlooked
overpower: overpowered
overreach: overreaching
overrun: overrun
overshadow: overshadowed
overspread: overspread
overtake: overtaken
overthrow: overthrow,overthrown,overthrows
overture: overtures
overturn: overturn,overturned
overwhelm: overwhelm,overwhelmed
overwhelmed: overwhelmed
ovid: ovid
owe: owed
owner: owners
ox: ox
oxen: oxen
pace: pace,paces
pacha: pacha
pacific: pacific
pacify: pacified
pagan: pagan,pagans
paganism: paganism
pagans: pagans
pageant: pageant,pageants
pageantry: pageantry
pagus: pagus
pain: pain
painful: painful
painfully: painfully
paint: paint,painted,painting,paints
painter: painters
painting: painting
pair: pair
palace: palace,palaces
palatine: palatine
palatines: palatines
palatium: palatium
pale: pale
palest: palest
palestine: palestine
palestinian: palestinian
palladium: palladium
palliate: palliate,palliates
palm: palm,palmed
pan: pan
pandect: pandect
pandects: pandects
panegyric: panegyric,panegyrics
panegyrics: panegyrics
panegyrist: panegyrist,panegyrists
panic: panic
pannonian: pannonian
pantheon: pantheon
panther: panthers
pantomime: pantomimes
paola: paola
paolo: paolo
papal: papal
paper: paper,papers
papists: papists
par: par,pars
parade: parade
paradise: paradise
paradox: paradox
paragraph: paragraph
parallel: parallel,paralleled,parallels
paraphrase: paraphrase
parasang: parasang,parasangs
parasite: parasite
paratitlon: paratitlon
parchment: parchment
pardon: pardon,pardoned
pare: paring
parent: parent,parents
parental: parental
paris: paris
parish: parish,parishes
parishioner: parishioners
parisii: parisii
park: park,parks
parliament: parliaments
parochial: parochial
parole: paroles
paroxysm: paroxysm
parr: parr
parricide: parricide
parsimoniously: parsimoniously
parsimony: parsimony
partake: partaking
partaker: partaker
parte: parte,partes
partes: partes
parthian: parthian
partial: partial
partiality: partiality
partially: partially
participate: participate,participating
participation: participation
particle: particle,particles
particulars: particulars
partisan: partisans
partition: partition
partly: partly
partnership: partnership
party: parties,party
pascal: pascal
paschal: paschal
pass: pass,passed,passes,passing
passage: passage,passages
passim: passim
passion: passion,passions
passionate: passionate
passive: passive
pastor: pastor,pastors
pastoral: pastoral
pasture: pasture
patent: patents
pater: pater
paternal: paternal
path: path,paths
pathetic: pathetic
pathetically: pathetically
patience: patience
patient: patient
patiently: patiently
patriarch: patriarch,patriarchs
patriarchal: patriarchal
patriarchs: patriarchs
patrician: patrician,patricians
patricians: patricians
patrimonial: patrimonial
patrimony: patrimony
patriot: patriot,patriots
patriotic: patriotic
patriotism: patriotism
patron: patron,patrons
patronage: patronage
patroness: patroness
paul: paul
paula: paula
paulinus: paulinus
pause: pause
pavement: pavement
pavia: pavia
pax: pax
pay: paid,pay,paying
payen: payen
payment: payment,payments
peace: peace
peaceable: peaceable
peaceably: peaceably
peaceful: peaceful
pearl: pearl,pearls
peasant: peasant,peasants
peculiar: peculiar
peculiarity: peculiarities
peculiarly: peculiarly
pecuniary: pecuniary
pedant: pedant
pedantic: pedantic
pedantry: pedantry
pedestal: pedestal
pedigree: pedigree
peer: peers
peloponnesian: peloponnesian
pelops: pelops
pen: pen,pens
penal: penal
penalty: penalties,penalty
penance: penance
pencil: pencil
penelope: penelope
penetrate: penetrate,penetrated
penetration: penetration
peninsula: peninsula
penitent: penitent,penitents
penitential: penitential
pennine: pennine
pension: pensions
pentagon: pentagon
pentapolis: pentapolis
pentecost: pentecost
penury: penury
people: peopled
perceive: perceive,perceived,perceiving
perception: perceptions
perdus: perdus
peregrin: peregrin
peregrination: peregrinations
peremptory: peremptory
perfect: perfect
perfection: perfection,perfections
perfectly: perfectly
perfecto: perfecto
perfidious: perfidious
perfidy: perfidy
perform: perform,performed,performing,performs
performance: performance
perfumed: perfumed
pericles: pericles
peril: perils
perilous: perilous
period: period,periods
periodical: periodical
perish: perish,perished,perishing
perjury: perjury
permanency: permanency
permanent: permanent
permission: permission
permit: permit,permitted,permitting
pernicious: pernicious
perpetrate: perpetrated
perpetual: perpetual
perpetually: perpetually
perpetuate: perpetuate,perpetuated,perpetuates,perpetuating
perpetuum: perpetuum
perplex: perplex,perplexed,perplexes
perplexed: perplexed
perplexity: perplexity
perquisite: perquisites
pers: pers
perse: perse
persecute: persecute,persecuted,persecuting
persecution: persecution,persecutions
persecutor: persecutor,persecutors
perseverance: perseverance
persevere: persevere,persevered,persevering
persia: persia
persian: persian,persians
persico: persico
persis: persis
persist: persist,persisted
person: people,person,persons
personage: personages
personal: personal
personally: personally
personate: personated
personification: personification
personify: personified,personifies,personify
perspicuity: perspicuity
perspicuous: perspicuous
persuade: persuade,persuaded,persuading
persuasion: persuasion,persuasions
persuasive: persuasive
pertinentia: pertinentia
perusal: perusal
peruse: peruse,perused
pervade: pervade,pervaded,pervades
perverse: perverse
pervert: pervert,perverted
pervious: pervious
pestilence: pestilence
pestilential: pestilential
peter: peter
petit: petit
petition: petition,petitions
phalaris: phalaris
phantasma: phantasma
phantom: phantom,phantoms
pharaoh: pharaoh
phasis: phasis
phenomenon: phenomena,phenomenon
phil: phil
philip: philip
philosoph: philosoph
philosophe: philosophe
philosopher: philosopher,philosophers
philosophes: philosophes
philosophic: philosophic
philosophical: philosophical
philosophically: philosophically
philosophize: philosophize
philosophy: philosophy
phot: phot
phrase: phrase
phrygia: phrygia
phrygian: phrygian
physical: physical
physician: physician,physicians
pick: pick
pickax: pickaxes
picture: picture,pictures
picturesque: picturesque
picus: picus
piece: piece,pieces
pierce: pierced,piercing
pierre: pierre
piety: piety
pike: pike
pilate: pilate
pile: pile,piled,piles
pilgrim: pilgrim,pilgrims
pilgrimage: pilgrimage,pilgrimages
pillage: pillage,pillaged
pillager: pillagers
pillar: pillar,pillars
pioneer: pioneers
pious: pious
piously: piously
piracy: piracy
pirate: pirates
pisces: pisces
piso: piso
pit: pits
pitch: pitch,pitched
pity: pitied,pities,pity
pius: pius
plague: plague,plagues
plain: plain,plainest,plains
plainly: plainly
plainness: plainness
plan: plan,plans
plane: plane
planet: planets
plant: plant,planted
plaster: plaster
plastic: plastic
plate: plate
plato: plato
platonic: platonic
platonician: platonician
platonism: platonism
plausible: plausible
plautus: plautus
play: play,played
player: player,players
plea: plea
plead: plead,pleaded,pleading
pleasant: pleasant
pleasantly: pleasantly
pleasantry: pleasantry
pleased: pleased
pleasing: pleasing
pleasure: pleasure,pleasures
pleb: plebs
plebeian: plebeian,plebeians
plebeians: plebeians
pledge: pledge,pledged,pledges
plentiful: plentiful
plentifully: plentifully
plenty: plenty
plenum: plenum
pliancy: pliancy
pliny: pliny
plot: plot
plough: plough
ploughshare: ploughshare
plunder: plunder,plundered
plunge: plunged
plural: plural
plurality: plurality
plusquam: plusquam
plutarch: plutarch
ply: plied
po: po
poem: poem,poems
poet: poet,poets
poetical: poetical
poetically: poetically
poetry: poetry
poison: poison,poisoned,poisoning
poisoning: poisoning
poland: poland
polemic: polemic,polemics
police: police
policy: policy
polish: polished
polished: polished
polite: polite
politeness: politeness
political: political
politician: politician
politics: politics
politique: politique
pollute: pollute,polluted
pollux: pollux
polycarp: polycarp
polytheism: polytheism
polytheist: polytheist,polytheists
pomp: pomp
pompey: pompey
pompous: pompous
ponderous: ponderous
poniard: poniard
pontifex: pontifex
pontiff: pontiff,pontiffs
pontiffs: pontiffs
pontific: pontific
pontifical: pontifical
pontius: pontius
ponto: ponto
pontus: pontus
poor: poor,poorer,poorest
pope: pope,popes
populace: populace
popular: popular
popularity: popularity
popularly: popularly
population: population
populous: populous
populousness: populousness
populum: populum
populus: populus
porch: porch
porphyrogenitus: porphyrogenitus
porphyry: porphyry
port: port,ports
portable: portable
portas: portas
portico: portico,porticos
portion: portion
portrait: portrait,portraits
position: position
positive: positive
positively: positively
posse: posse
possess: possess,possessed,possesses,possessing
possession: possession,possessions
possessor: possessors
posset: posset
possibility: possibility
post: post,posted,posts
posterity: posterity
posthumous: posthumous
postscript: postscript
posture: posture
potent: potent
poultry: poultry
pound: pound,pounds
pour: pour,poured,pouring,pours
poverty: poverty
power: power,powers
powerful: powerful
powerfully: powerfully
practicable: practicable
practical: practical
practice: practice,practices
practise: practise,practised
praise: praise,praised,praises,praising
pravity: pravity
pray: prayed,praying
prayer: prayer,prayers
preach: preach,preached,preaching
preacher: preacher,preachers
preaching: preaching
preamble: preamble
precarious: precarious
precariously: precariously
precaution: precaution,precautions
precede: precede,preceded,precedes,preceding
precedency: precedency
precedent: precedent,precedents
precept: precept,precepts
preceptor: preceptor,preceptors
precinct: precincts
precious: precious
precipice: precipice,precipices
precipitate: precipitate,precipitated
precipitation: precipitation
precise: precise
precisely: precisely
precision: precision
preconception: preconceptions
predatory: predatory
predecessor: predecessor,predecessors
predestination: predestination
predestined: predestined
prediction: prediction,predictions
predominate: predominate
pref: pref
preface: preface
prefect: prefect
prefecture: prefecture
prefer: prefer,preferred,preferring,prefers
preferable: preferable
preference: preference
prefix: prefixed
pregnancy: pregnancy
pregnant: pregnant
prejudge: prejudge
prejudice: prejudice,prejudiced,prejudices
prelate: prelate,prelates
preliminary: preliminaries
prelude: prelude
premature: premature
premeditated: premeditated
preparation: preparation,preparations
preparatory: preparatory
prepare: prepare,prepared,preparing
prepared: prepared
prepossess: prepossess
prepossession: prepossession
prerogative: prerogative,prerogatives
presage: presage,presages
presbyter: presbyter,presbyters
prescribe: prescribed,prescribes
presence: presence
preservation: preservation
preservative: preservative
preserve: preserve,preserved,preserves,preserving
preside: preside,presided
president: president,presidents
press: press,pressed,pressing
pressing: pressing
pressure: pressure
presume: presume,presumed,presumes,presuming
presumption: presumption
presumptive: presumptive
presumptuous: presumptuous
presumptuously: presumptuously
pretence: pretence,pretences
pretend: pretend,pretended,pretends
pretender: pretenders
pretension: pretensions
preternatural: preternatural
pretext: pretext
prevail: prevail,prevailed,prevailing
prevalence: prevalence
prevalent: prevalent
prevaricate: prevaricate
prevent: prevent,prevented,preventing,prevents
previous: previous
prey: prey,preyed
price: price
pride: pride
priest: priest,priests
priestess: priestess
priesthood: priesthood
prima: prima
primate: primate,primates
prime: prime
primitive: primitive
primo: primo
primordium: primordia
primus: primus
prince: prince,princes
princeps: princeps
princess: princess
principal: principal
principally: principally
principe: principes
principes: principes
principi: principi
principia: principia
principle: principle,principles
print: printed
printing: printing
prior: prior
priority: priority
prise: prises
prison: prison,prisons
prisoner: prisoner,prisoners
pristine: pristine
private: private
privately: privately
privilege: privilege,privileges
privileged: privileged
privy: privy
prize: prize
pro: pro
prob: prob
probability: probability
probable: probable
probationary: probationary
proceed: proceed,proceeded,proceeding,proceeds
proceeding: proceeding
proceedings: proceedings
procere: proceres
proceres: proceres
process: process
procession: procession,processions
proclaim: proclaim,proclaimed,proclaiming,proclaims
proclamation: proclamations
proconsul: proconsul,proconsuls
proconsular: proconsular
procurator: procurator,procurators
procuratorship: procuratorship
procure: procure,procured,procuring
prodigality: prodigality
prodigious: prodigious
prodigus: prodigus
prodigy: prodigies,prodigy
produce: produce,produced,produces,producing
production: production,productions
productive: productive
proem: proem
profanation: profanation
profane: profane,profaned
profess: profess,professed,professes,professing
profession: profession,professions
professional: professional
professor: professor,professors
profit: profit,profits
profitable: profitable
profitably: profitably
profound: profound
profuse: profuse
profusely: profusely
profuseness: profuseness
profusion: profusion
progeny: progeny
progress: progress
prohibit: prohibit,prohibited,prohibiting,prohibits
prohibition: prohibition,prohibitions
project: project,projects
proleg: proleg
prolegomena: prolegomena
prolific: prolific
prolix: prolix
prolixity: prolixity
prolong: prolong,prolonged
promiscuous: promiscuous
promise: promise,promised,promises
promising: promising
promontory: promontories,promontory
promote: promote,promoted
promotion: promotion
prompt: prompt,prompted
promulgate: promulgated
prone: prone
pronounce: pronounce,pronounced,pronounces,pronouncing
pronounced: pronounced
proof: proof,proofs
prop: props
propagate: propagate,propagated
propagation: propagation
propensity: propensities,propensity
proper: proper
properly: properly
property: properties,property
prophecy: prophecies,prophecy
prophesy: prophesied
prophet: prophet,prophets
prophetic: prophetic
propitiate: propitiate
propitious: propitious
propontis: propontis
proportion: proportion,proportioned,proportions
proportionable: proportionable
proportionally: proportionally
proposal: proposal,proposals
propose: propose,proposed,proposes,proposing
proposition: propositions
proprietor: proprietor,proprietors
propriety: propriety
proprium: proprium
propter: propter
proscribe: proscribed
proscribed: proscribed
proscription: proscription,proscriptions
prose: prose
prosecute: prosecute,prosecuted
prosecution: prosecution,prosecutions
proselyte: proselyte,proselytes,proselyting
prospect: prospect
prosper: prospered
prosperity: prosperity
prosperous: prosperous
prostitute: prostituted,prostitutes
prostitution: prostitution
prostrate: prostrate
protect: protect,protected,protecting,protects
protection: protection
protector: protector,protectors
protest: protest,protested,protesting,protests
protestant: protestant,protestants
protestation: protestation,protestations
protract: protract,protracted
prov: prov
prove: prove,proved,proves
proverb: proverb
proverbial: proverbial
proverbs: proverbs
provide: provide,providing
providence: providence
province: province,provinces
provincial: provincial
provision: provision,provisions
provisional: provisional
provocation: provocation,provocations
provocative: provocative
provoke: provoke,provoked,provoking
prow: prows
prowess: prowess
proxime: proxime
prudence: prudence
prudent: prudent
prudential: prudential
prudently: prudently
psalm: psalm,psalms
psalmody: psalmody
psalms: psalms
ptolemy: ptolemy
puberty: puberty
pubis: pubis
public: public
publica: publica
publication: publication
publicly: publicly
publish: publish,published,publishing
puerile: puerile
pulpit: pulpit,pulpits
punic: punic
punish: punish,punished,punishing
punishment: punishment,punishments
puny: puny
pupil: pupil,pupils
purchase: purchase,purchased,purchases,purchasing
purchaser: purchaser,purchasers
pure: pure,purer,purest
purely: purely
purge: purge
purification: purification
purify: purified,purifies,purify
purim: purim
purity: purity
purple: purple
purport: purport
purpose: purpose,purposes
purposely: purposely
purse: purse
pursue: pursue,pursued,pursues,pursuing
pursuer: pursuers
pursuit: pursuit,pursuits
push: pushed
pusillanimity: pusillanimity
pusillanimous: pusillanimous
puzzled: puzzled
puzzolan: puzzolan
pygmy: pygmies
pyramid: pyramids
pyrenees: pyrenees
pyrrhic: pyrrhic
pythagoras: pythagoras
pythian: pythian
pythium: pythium
qua: qua
quadi: quadi
quaintly: quaintly
qualification: qualifications
qualified: qualified
qualify: qualified,qualify,qualifying
quality: qualities,quality
quam: quam
quando: quando
quantity: quantities,quantity
quantum: quantum
quarrel: quarrel,quarrels
quarry: quarries
quarter: quarter,quartered,quarters
quarterly: quarterly
quarto: quarto
quasi: quasi
quat: quat
quatuor: quatuor
quay: quays
queen: queen,queens
quell: quelled
quem: quem
quest: quest
question: question,questioned,questioning,questions
questionable: questionable
qui: qui
quia: quia
quibus: quibus
quick: quick
quid: quid
quidam: quidam
quietly: quietly
quin: quin
quindecemvir: quindecemvir
quintus: quintus
quirinal: quirinal
quiritarian: quiritarian
quis: quis
quit: quit
quiver: quiver,quivering
quo: quo,quos
quod: quod
quondam: quondam
quoniam: quoniam
quorum: quorum
quos: quos
quot: quot
quotation: quotation,quotations
quote: quote,quoted,quotes
rabbi: rabbi
rabbis: rabbis
race: race,races
rack: rack,racks
raft: rafts
rage: rage,raged
rail: rails
raillery: raillery
rain: rain,rains
rainbow: rainbow
rainy: rainy
raise: raise,raised,raising
raison: raison
rally: rallied
ram: ram,rams
rameses: rameses
rampart: rampart,ramparts
rancor: rancor
random: random
rank: rank,ranked,ranks
rapacious: rapacious
rapaciousness: rapaciousness
rape: rape
