abase: abasing
stunting: stunting
stupefy: stupefies
stupendous: stupendous
stupid: stupid,stupider
stupidity: stupidities,stupidity
style: style
subject: subject,subjected,subjecting,subjects
subjection: subjection
subjective: subjective
subjectivity: subjectivity
subjugate: subjugate
subjugation: subjugation
subjugator: subjugators
sublimate: sublimated,sublimates
sublime: sublime,sublimest
sublimer: sublimer
sublimity: sublimity
submission: submission
submit: submit,submitting
subordinate: subordinate,subordinates
subscribe: subscribe
subservient: subservient
substance: substance
subterranean: subterranean
subtle: subtle,subtler,subtlest
subtler: subtler
subtlety: subtlety
suburb: suburbs
subversion: subversion
subvert: subvert
succeed: succeed,succeeded,succeeds
success: success,successes
successful: successful
succession: succession
succumb: succumb,succumbed
sudden: sudden
suddenly: suddenly
suddenness: suddenness
suffer: suffer,suffered,suffering,suffers
sufferer: sufferer,sufferers
suffering: suffering,sufferings
suffice: suffice,sufficed,suffices,sufficing
sufficiency: sufficiency
sufficient: sufficient
suffocate: suffocate,suffocated
sugar: sugar
suggestion: suggestion,suggestions
sui: sui
suicide: suicide
suit: suited,suiting
suitable: suitable
suitably: suitably
sum: sum,summing
summer: summer
summon: summon
sun: sun,suns
sunday: sunday
sunless: sunless
sunset: sunsets
sunshine: sunshine
superabundance: superabundance
superciliously: superciliously
superciliousness: superciliousness
superficial: superficial
superficiality: superficiality
superfluous: superfluous
superimpose: superimposed
superior: superior,superiors
superiority: superiority
superlative: superlative
supermoral: supermoral
superstition: superstition,superstitions
support: support,supported,supporting
suppose: suppose,supposed,supposing
supposer: supposer
supposition: supposition
suppress: suppressed
suppression: suppression
supremacy: supremacy
supreme: supreme
surely: surely
surface: surface
surmise: surmises
surmount: surmount,surmounted,surmounting
surpass: surpasses,surpassing
surplus: surplus
surprise: surprised
surprised: surprised
surprising: surprising
surprisingly: surprisingly
surrender: surrender,surrendering
survey: survey
surveyor: surveyor
survive: survive
survivor: survivors
suspect: suspect,suspected,suspecting,suspects
suspicion: suspicion
suspicious: suspicious
suspiciously: suspiciously
swamp: swamp,swamps
swan: swans
sway: sway,swayed
swear: sworn
sweat: sweat
sweep: sweep
sweet: sweet
sweeten: sweetened
sweetness: sweetness
swell: swell,swelling
swelling: swellings
swim: swim
swing: swing
switzerland: switzerland
sword: sword,swords
syllable: syllable,syllables
symbol: symbol,symbols
symbolic: symbolic
symbolism: symbolism
symmetry: symmetry
sympathetic: sympathetic
sympathize: sympathize,sympathizing
sympathy: sympathy
symptom: symptom,symptoms
synonymous: synonymous
synthesis: synthesis
synthetic: synthetic
synthetically: synthetically
systematic: systematic
systematically: systematically
systematise: systematised
table: table,tables
taboo: taboo
tact: tact
tail: tail
tailoress: tailoress
taint: taint
tale: tale
talent: talent,talents
talented: talented
talk: talk,talked,talking,talks
talkative: talkative
tame: tame,taming
tannhauser: tannhauser
tantaluses: tantaluses
tantamount: tantamount
tarnish: tarnished
tartuffery: tartuffery
tartuffism: tartuffism
task: task,tasks
taste: taste,tasted,tastes
tasteful: tasteful
taut: taut
tax: tax,taxes
teach: taught,teach,teaches
teacher: teacher,teachers
teaching: teaching
team: team
tear: tears,torn
tearful: tearful
tedious: tedious
tediousness: tediousness
teem: teems
teleological: teleological
temper: tempers
temperament: temperament
temperance: temperance
temperate: temperate
tempo: tempo
temporarily: temporarily
temporary: temporary
tempt: tempt,tempted
temptation: temptation,temptations
tempter: tempter,tempters
tenacious: tenacious
tenacity: tenacity
tend: tend
tendency: tendency
tender: tender
tenderness: tenderness
tenet: tenets
tensely: tensely
tension: tension
tentative: tentative
tentatively: tentatively
tentativeness: tentativeness
term: term,termed,terms
termination: termination
terrible: terrible
terribleness: terribleness
terribly: terribly
terrifying: terrifying
terror: terror
terse: terse
testament: testament
testimony: testimony
testing: testing
teutonic: teutonic
teutonomania: teutonomania
thawing: thawing
theatre: theatre
thee: thee
theism: theism
theistic: theistic
theme: theme
theologian: theologians
theological: theological
theology: theology
theorist: theorists
theory: theories,theory
therefrom: therefrom
thereon: thereon
theretofore: theretofore
therewith: therewith
thesis: thesis
thinker: thinker,thinkers
thinking: thinking
thirst: thirst
thirstily: thirstily
thither: thither
thorn: thorns
thoughtful: thoughtful
thoughtlessness: thoughtlessness
thousandfold: thousandfold
thrash: thrash
thread: thread
threaten: threatened,threatening,threatens
threatening: threatening
threateningly: threateningly
threshold: threshold
thrill: thrill,thrills
throe: throes
throw: threw,thrown,throws
thrust: thrust,thrusting
thwart: thwart
thy: thy
thyself: thyself
tiberius: tiberius
ticklish: ticklish
ticklishness: ticklishness
tide: tides
tie: tie
tiger: tiger
time: time,times
timely: timely
timid: timid
timidity: timidities,timidity
timidly: timidly
tinkering: tinkering
tint: tinted
tire: tire
tired: tired
tiresome: tiresome
title: title,titles
toe: toes
toil: toil
token: token,tokens
tolerably: tolerably
tolerance: tolerance
tolerant: tolerant
toleration: toleration
tomorrow: tomorrow
tone: tones
tongue: tongue
tongued: tongued
tool: tool
tooth: teeth
topic: topic
torment: torment,tormented
torrent: torrents
tortoise: tortoise
torture: torture,tortured,tortures
totality: totality
touch: touch,touches
touching: touching
touchstone: touchstone,touchstones
tough: tough,toughest
tour: tour
tower: tower,towering
town: town
trace: traced
trade: trade
trademark: trademark
trading: trading
tradition: tradition
traditional: traditional
tragedy: tragedy
tragic: tragic
tragically: tragically
train: train,trained,training,trains
trainer: trainer
training: training
trait: trait,traits
tranquility: tranquility
tranquilize: tranquilize
transcendental: transcendental
transcribe: transcribe
transcriber: transcriber
transcription: transcription
transfiguration: transfiguration
transfigure: transfigured,transfiguring
transfiguring: transfiguring
transform: transformed,transforms
transition: transition
transitory: transitory
translate: translate,translated
translation: translation,translations
translator: translator
transmit: transmitted
transvaluation: transvaluation
transvalue: transvalue
travel: travel
traveler: traveler,travelers
traverse: traverse,traversed
travesty: travesty
treacherous: treacherous
tread: tread
treasure: treasure
treat: treat,treated,treats
treatment: treatment
tree: tree
trellis: trellis
tremble: trembling
tribe: tribes
tribune: tribune
tribute: tribute
trick: trick,tricks
trifle: trifle
trip: tripping
tristan: tristan
triumph: triumph,triumphed
triumphantly: triumphantly
tropical: tropical
tropics: tropics
trouble: trouble,troubled
troublesome: troublesome
truckle: truckles
truckling: truckling
true: true
trump: trumping
trumpery: trumpery
trust: trust
trustworthiness: trustworthiness
truth: truth,truths
truthful: truthful
truthfulness: truthfulness
tubingen: tubingen
tune: tune
turmoil: turmoil
twentieth: twentieth
twilight: twilight
twist: twist
type: type,types
typical: typical
tyrannical: tyrannical
tyrannically: tyrannically
tyrannize: tyrannize,tyrannized
tyrannous: tyrannous
tyranny: tyranny
tyrant: tyrant,tyrants
tyronism: tyronism
uglify: uglifying
uglifying: uglifying
ugly: ugly
ultimate: ultimate
ultimately: ultimately
ululating: ululating
ulysses: ulysses
umbrella: umbrella
unable: unable
unaffected: unaffected
unalterable: unalterable
unanimous: unanimous
unassuming: unassuming
unauthorizedly: unauthorizedly
unavoidable: unavoidable
unavoidably: unavoidably
unawares: unawares
unbearable: unbearable
unbelief: unbelief
unbend: unbend
unbridled: unbridled
unbridledness: unbridledness
unbroken: unbroken
uncanny: uncanny
uncertain: uncertain
uncertainty: uncertainty
unchangeable: unchangeable
unclean: unclean
uncleanliness: uncleanliness
uncommunicative: uncommunicative
unconditional: unconditional
unconditionally: unconditionally
unconditionalness: unconditionalness
unconditioned: unconditioned
unconquerable: unconquerable
unconquered: unconquered
unconscious: unconscious
unconsciously: unconsciously
undefined: undefined
undergo: undergoes,undergoing
underground: underground
underline: underline
undermine: undermines
underrate: underrated
understand: understand,understands,understood
understanding: understanding,understandings
undertake: undertake,undertaken
undervalue: undervalue
undeservedly: undeservedly
undeveloped: undeveloped
undiscovered: undiscovered
undistinguished: undistinguished
undisturbedness: undisturbedness
undoubtedly: undoubtedly
unearth: unearth
uneaseful: uneaseful
unemancipated: unemancipated
unendurable: unendurable
unenforceability: unenforceability
unenraptured: unenraptured
unequally: unequally
unequivocal: unequivocal
unequivocally: unequivocally
unexceptionalness: unexceptionalness
unexhausted: unexhausted
unexpressed: unexpressed
unfailing: unfailing
unfailingly: unfailingly
unfair: unfair
unfamiliar: unfamiliar
unfathomable: unfathomable
unfavourable: unfavourable
unfavourably: unfavourably
unfold: unfold
unfortunate: unfortunate
ungrateful: ungrateful
unhappy: unhappy
unhesitating: unhesitating
unhinge: unhinged
uniform: uniform
uniformity: uniformity
unintelligent: unintelligent
unintelligible: unintelligible
uninteresting: uninteresting
unintuitively: unintuitively
unio: unio
unique: unique
unite: unite,united
united: united
unity: unity
universal: universal
university: university
unjust: unjust
unknown: unknown
unlawful: unlawful
unlearn: unlearn,unlearning,unlearns
unlearned: unlearned
unlink: unlink
unlucky: unlucky
unmanliness: unmanliness
unmentionable: unmentionable
unmistakable: unmistakable
unmoved: unmoved
unnaturalness: unnaturalness
unnoticed: unnoticed
unobjectionable: unobjectionable
unpeaceable: unpeaceable
unphilosophical: unphilosophical
unphilosophically: unphilosophically
unpleasant: unpleasant
unprejudiced: unprejudiced
unprejudicedly: unprejudicedly
unprejudicedness: unprejudicedness
unpretentious: unpretentious
unreasonable: unreasonable
unreasonableness: unreasonableness
unrecognizable: unrecognizable
unrefined: unrefined
unrefuted: unrefuted
unrestful: unrestful
unrestrained: unrestrained
unriddle: unriddle
unsatisfactorily: unsatisfactorily
unscholarly: unscholarly
unscrupulous: unscrupulous
unseasonable: unseasonable
unseemly: unseemly
unselfish: unselfish
unsensuousness: unsensuousness
unsettling: unsettling
unskilled: unskilled
unsolicited: unsolicited
unsuccessful: unsuccessful
unsuitable: unsuitable
unsuspecting: unsuspecting
unteachable: unteachable
untranslatable: untranslatable
untrodden: untrodden
untrue: untrue
untruth: untruth
untruthful: untruthful
unusually: unusually
unuttered: unuttered
unwariness: unwariness
unwearied: unwearied
unwilling: unwilling
unwillingly: unwillingly
unwisely: unwisely
unwittingly: unwittingly
unworldliness: unworldliness
upbraid: upbraids
update: updated
upgoing: upgoing
upper: upper
upright: upright
uprightness: uprightness
uprose: uprose
upset: upsets
ural: ural
urgently: urgently
usage: usage,usages
useless: useless
user: user
usque: usque
usual: usual
ut: ut
utile: utile
utilitarian: utilitarian,utilitarians
utilitarianism: utilitarianism
utilitarians: utilitarians
utility: utility
utilize: utilize
utmost: utmost
utter: utter,utters
utterance: utterance
vain: vain
valuable: valuable
valuation: valuation,valuations
vampyre: vampyre
vanilla: vanilla
vanish: vanished
vanity: vanity
vanquish: vanquished
variation: variations
varied: varied
variegate: variegated
variegated: variegated
variety: varieties,variety
variously: variously
vassal: vassals
vast: vast
vaunt: vaunting
vedanta: vedanta
vehemence: vehemence
vehemently: vehemently
vehicle: vehicle
veil: veil,veiled
venerable: venerable
venerate: venerate,venerated
vengeance: vengeance
venice: venice
vent: vent
venture: venture,ventured,ventures
verbal: verbal
verbiage: verbiage
verdict: verdict
veritable: veritable
verse: versed
version: version
vertu: vertu
vessel: vessel
vex: vexed
vexation: vexation
vice: vice,vices
vicious: vicious
vicissitude: vicissitudes
victim: victim,victims
victor: victor
victorious: victorious
victory: victory
view: view,viewed,viewing,views
vigilance: vigilance
vigorous: vigorous
vigorously: vigorously
vii: vii
viii: viii
viking: viking
village: village
vinci: vinci
vindicate: vindicating
vindictively: vindictively
violate: violates
violation: violation
violence: violence
violent: violent
virgin: virgin
virility: virility
virtu: virtu
virtue: virtue,virtues
virtues: virtues
virtuosi: virtuosi
virtuosoship: virtuosoship
virtuous: virtuous
virtuously: virtuously
virtus: virtus
virus: virus
viscous: viscous
visible: visible
vision: vision
visionary: visionaries,visionary
visit: visit
visitor: visitors
visual: visual
vital: vital
vitality: vitality
vivacious: vivacious
vivisect: vivisecting
vivisection: vivisection
vivisector: vivisector
vocal: vocal
voice: voice,voices
void: void
voila: voila
volition: volition,volitions
volitional: volitional
voltaire: voltaire
voltairean: voltairean
voluntarily: voluntarily
voluntary: voluntary
volunteer: volunteer,volunteers
voluptuous: voluptuous
von: von
vow: vow
vowel: vowels
voyage: voyage,voyages
vulgar: vulgar
vulgarity: vulgarity
vulgarization: vulgarizations
vulgarize: vulgarizes,vulgarizing
vulnerability: vulnerability
vulnerable: vulnerable
wage: waged
wager: wager
waggish: waggish
wagner: wagner
wagnerian: wagnerian
wagnerite: wagnerite
wait: wait,waiting,waits
waiting: waiting
wake: waking
wakefulness: wakefulness
walk: walk,walks
walking: walking
wallow: wallow
wander: wander,wandering
wanderer: wanderer
wane: waning
wanton: wanton
wantonly: wantonly
wantonness: wantonness
war: war,wars
warlike: warlike
warm: warm
warn: warn
warningly: warningly
warranty: warranties,warranty
wary: wariest,wary
wast: wast
waste: waste
watching: watching
water: water,waters
waver: wavering
weak: weak,weaker
weaken: weaken
weakening: weakening
weakling: weakling
weakness: weakness,weaknesses
weal: weal
wealth: wealth
wealthy: wealthy
weapon: weapons
wear: wear
wearied: wearied
weariness: weariness
wearisome: wearisome
weary: weary
wearying: wearying
weave: woven
weber: weber
wedding: wedding
week: week
weep: weeping
weight: weight
welfare: welfare
werther: werther
west: west
western: western
wet: wet
wether: wether
whatsoever: whatsoever
wheel: wheeling,wheels
whirl: whirl
whisper: whispered
wholly: wholly
whys: whys
wicked: wicked,wickedest
wickedness: wickedness
wide: wide,wider,widest
widen: widens
widening: widening
wife: wife,wives
wild: wild
wilderness: wilderness
wildest: wildest
wildness: wildness
willed: willed
william: william
willingly: willingly
win: win,winning,wins
wind: wind,wound
winded: winded
window: window,windows
wine: wine
wing: wings
wipe: wiped
wisdom: wisdom
wise: wise,wiser,wisest
wisely: wisely
wisps: wisps
wit: wit
witchery: witchery
withal: withal
withdraw: withdrawing,withdraws
withered: withered
witness: witness,witnesses,witnessing
witticism: witticisms
wizard: wizard
woe: woe
woman: woman,women
womanly: womanly
wonderful: wonderful
word: word
worker: worker,workers
workman: workman,workmen
workmanlike: workmanlike
worldly: worldly
worm: worm
worn: worn
worship: worship,worshipped
worth: worth
worthy: worthies,worthiest,worthy
wound: wounded,wounds
wrath: wrath
wreck: wrecked
wrestler: wrestler
wretched: wretched
wretchedness: wretchedness
write: write,writes,writing,written,wrote
writer: writers
writing: writing
writings: writings
written: written
wrong: wrong,wronged
wrongly: wrongly
wrung: wrung
yawn: yawns
yea: yea
yeas: yeas
yellow: yellow,yellows
yesterday: yesterday
yield: yielding,yields
yon: yon
youth: youth,youths
youthful: youthful
youthfulness: youthfulness
zeitgeist: zeitgeist
zone: zone,zones
