abandon: abandon,abandoned,abandons
plantation: plantation
planting: planting
plaster: plaster,plastered,plastering
plasterer: plasterer
plastering: plastering
plastic: plastic
plate: plate,plates
plateau: plateau
platform: platform
plato: plato
play: play,played,playing,plays
plead: plead
pleading: pleadings
pleasant: pleasant,pleasantest
pleasanter: pleasanter
pleasantly: pleasantly
pleased: pleased
pleasing: pleasing
pleasure: pleasure,pleasures
plectrum: plectrum
pledge: pledged
pleiades: pleiades
plenty: plenty
plod: plodding
plot: plots
plough: plough,ploughing,ploughs
ploughing: ploughing
ploughmen: ploughmen
ploughshare: ploughshare
plow: plow,plowed
pluck: plucked,plucks
plug: plug
plum: plum
plumage: plumage
plume: plumes
plump: plump,plumper
plunge: plunge,plunges
plutus: plutus
plymouth: plymouth
pocket: pocket,pockets
pod: pods
poem: poem
poesy: poesy
poet: poet,poets
poetic: poetic
poetry: poetry
poison: poison
poisonous: poisonous
poke: poked
polar: polar
pole: pole,poles
polestar: polestar
policy: policy
polish: polish,polished
polite: polite
politeness: politeness
political: political
politician: politicians
politics: politics
polk: polk
poll: poll
pollen: pollen
pomp: pomp
pond: pond,ponds
ponds: ponds
pontificate: pontificate
pool: pool,pools
poor: poor,poorer,poorest
pop: pop
pope: pope
popgun: popguns
poplar: poplar
population: population
populous: populous
porch: porch
pore: pore,pores
pork: pork
porridge: porridge
port: port,ports
portentous: portentous
portico: porticoes
portion: portion,portions
portionless: portionless
portugal: portugal
portulaca: portulaca
position: position
positive: positive
posse: posse
possess: possess,possessed
possession: possession
possessor: possessor
possibility: possibility
post: post,posts
postage: postage
posterity: posterity
postpone: postpone
posture: posture
pot: pot,pots
potash: potash
potato: potato,potatoes
potatoes: potatoes
potter: potter
pottery: pottery
poultry: poultry
pound: pound,pounds
pour: poured
pout: pout,pouts
poverty: poverty
pow: pow
powder: powder
powdery: powdery
power: power,powers
powerful: powerful
powerless: powerless
practical: practical
practically: practically
practice: practice,practiced
practise: practise,practised,practising
prairie: prairie,prairies
praise: praise,praised,praises
prank: pranks
pray: pray,prayed
prayer: prayer,prayers
preach: preach,preaching
preacher: preacher
precede: precede,preceded,precedes,preceding
precedent: precedents
precept: precept,precepts
precious: precious
precise: precise
precisely: precisely
precision: precision
precocious: precocious
precursor: precursors
predecessor: predecessors
predicament: predicament
predict: predict
preface: preface
prefer: prefer,preferred,preferring
pregnant: pregnant
prejudice: prejudice,prejudices
premise: premises
premium: premium
prepare: prepare,prepared,prepares,preparing
preparedly: preparedly
prescribe: prescribe,prescribed
presence: presence
presentable: presentable
presently: presently
preservation: preservation
preserve: preserve,preserved,preserves,preserving
preside: presided
presidency: presidency
president: president
press: press,pressed,pressing
pressure: pressure
presume: presume,presuming
presumption: presumption
pretend: pretend,pretending,pretends
pretensions: pretensions
pretext: pretext
pretty: pretty
prevail: prevail,prevailed,prevailing,prevails
prevalence: prevalence
prevalent: prevalent
prevent: prevent,prevented,prevents
previous: previous
prey: prey,preying
price: price,prices
priceless: priceless
pride: pride
priest: priest,priests
prime: prime
primer: primers
primeval: primeval
primitive: primitive
prince: prince,princes
princess: princess
principal: principal
principle: principle,principles
print: print,printed,prints
printing: printing
prison: prison,prisons
prisoner: prisoner,prisoners
privacy: privacy
private: private,privates
privilege: privilege,privileges
privileged: privileged
prize: prize,prized
probability: probability
probable: probable
probe: probe
proceed: proceed,proceeded,proceeding,proceeds
proceeds: proceeds
process: process
procession: procession
proclaim: proclaim,proclaimed
procure: procure,procured,procuring
produce: produce,produced,produces,producing
producing: producing
product: product,products
production: production,productions
productive: productive
profane: profaned
profanity: profanity
profess: profess,professed,professing
profession: profession,professions
professor: professor,professors
profile: profiles
profit: profit,profited,profits
profitably: profitably
profound: profound
progenitor: progenitors
progress: progress,progressing
project: project,projecting
prolific: prolific
prolong: prolonged
prominent: prominent
promise: promise,promised,promises,promising
promising: promising
promontory: promontories,promontory
prompt: prompt,prompting
pronoun: pronoun
pronounce: pronounce,pronounced
pronunciation: pronunciation
proof: proof
prop: prop,propped
proper: proper
properly: properly
propertied: propertied
property: property
prophesy: prophesied
prophet: prophets
propitious: propitious
proportion: proportion,proportions
proportionally: proportionally
proportionate: proportionate
propose: propose,proposed,proposes
proprietor: proprietor,proprietors
propriety: propriety
prospect: prospect
prospecting: prospecting
prospects: prospects
prosperity: prosperity
prostrate: prostrate
protect: protect,protected
protection: protection
prototype: prototype
protract: protracted
prove: prove,proved,proves,proving
provender: provender
proverb: proverb
provide: provide,providing
providence: providence
province: province,provinces
provincial: provincial
provision: provisions
provocation: provocations
provoke: provoke,provoked
prowl: prowling
prowling: prowling
prudence: prudence
prudent: prudent
pry: pried
psalm: psalm
public: public
publican: publicans
publish: publish,published
pudding: pudding,puddings
puddle: puddle,puddles
puff: puff
puffball: puffball
pull: pull,pulled,pulling,pulls
pulley: pulley
pulp: pulp
pulpy: pulpy
pulse: pulse
pulsing: pulsing
pump: pump,pumped
pumpkin: pumpkin,pumpkins
punctuality: punctuality
punish: punish,punished
punishment: punishment,punishments
puny: puny
pup: pups
pupil: pupil
purana: purana
purchase: purchase
purchaser: purchaser
pure: pure,purer,purest
purely: purely
purgative: purgative
puri: puri
purification: purification
purify: purified,purifies,purify,purifying
puritan: puritan
purity: purity
purlin: purlins
purple: purple
purpose: purpose,purposes
purposely: purposely
purse: purse
purslane: purslane
pursue: pursue,pursued,pursuing
pursuer: pursuers
pursuit: pursuit,pursuits
push: pushed,pushes,pushing
putrid: putrid
putty: putty
puzzle: puzzle,puzzled
pygmy: pygmies,pygmy
pyramid: pyramids
pyramids: pyramids
pyrrha: pyrrha
pythagorean: pythagorean
quack: quack,quacks
quadruped: quadrupeds
quaff: quaffs
quaking: quaking
qualified: qualified
quality: qualities,quality
quantity: quantities,quantity
quarrel: quarrel
quart: quarts
quarter: quarter,quarters
quartz: quartz
queen: queen,queens
queer: queer
queerest: queerest
quench: quenched
question: question,questioned,questions
questionable: questionable
quick: quick
quicksand: quicksands
quicksilver: quicksilver
quiet: quiet,quieted
quietly: quietly
quirk: quirks
quiver: quivering
quota: quota
quote: quote,quoted
rabbit: rabbit,rabbits
raccoon: raccoon
race: race,races
rack: racked
radiate: radiated
radical: radicals
radicle: radicle
radii: radii
raft: raft
rafter: rafters
rag: rags
rage: rage,raging
ragged: ragged
raggedly: raggedly
rail: rail,rails
railroad: railroad,railroads
rain: rain,rained,rains
rainbow: rainbow
rainy: rainiest,rainy
raise: raise,raised,raises,raising
raiser: raisers
raisin: raisins
raising: raising
rake: rake,raked,rakes
ram: rams
ramble: ramble,rambled,rambles
rambler: rambler
rambling: rambling
rampart: ramparts
range: range,ranged,ranges,ranging
rank: rank,ranks
rapid: rapid
rapidly: rapidly
rapt: rapt
rare: rare,rarer,rarest
rarefy: rarefies
rarely: rarely
rash: rash
raspberry: raspberries
rat: rat,rats
rate: rate,rated,rates
ration: rations
rattle: rattle,rattled,rattles
rattling: rattling
ravage: ravaged
ravine: ravines
raw: raw
rawness: rawness
ray: ray,rays
reach: reach,reached,reaches,reaching
react: react,reacted
read: read,reading,reads
reader: reader,readers
reading: reading
ready: ready
real: real
reality: realities,reality
realization: realization
realize: realize,realized
realm: realm
reap: reaped
reaper: reapers
reappear: reappearing
rear: rear
rearmost: rearmost
reason: reason,reasons
reasonable: reasonable
reawaken: reawaken
rebel: rebel,rebels
recall: recall
recede: receded,receding
receive: receive,received,receiving
recess: recess,recesses
recipe: recipe
reckless: reckless
reckon: reckon,reckoned
reckoning: reckoning
reclaim: reclaimed
recognition: recognition
recognize: recognize,recognized,recognizing
recollect: recollect
recollection: recollection
recommend: recommend,recommended,recommending,recommends
reconcile: reconciled
reconnoitre: reconnoitre
record: record,recorded
records: records
recover: recover,recovered,recovering,recovers
recovery: recovery
recreate: recreate
recreation: recreation
recruit: recruit
rectitude: rectitude
recur: recurred
red: red
reddening: reddening
redding: redding
reddish: reddish
redeem: redeem
redeemer: redeemers
redolent: redolent
redress: redressing
reduce: reduce,reduced,reduces
reed: reed
reef: reefs
reel: reel,reels
refer: refer,referred,refers
refine: refine,refined
refined: refined
refinement: refinement
refit: refit
reflect: reflect,reflected,reflecting,reflects
reflection: reflection,reflections
reform: reform,reformed,reforming,reforms
reformer: reformer,reformers
refresh: refreshed
refreshing: refreshing
refuge: refuge
refusal: refusal
refuse: refuse,refused,refuses
regal: regal
regard: regard,regarded
region: region,regions
regna: regna
regret: regret,regrets,regretted,regretting
regular: regular
regularity: regularity
regularly: regularly
regulate: regulate,regulated,regulates,regulating
rei: rei
reign: reign,reigns
rein: reins
reinvigorate: reinvigorated
reject: rejected,rejecting
rejoice: rejoice
relate: relates
relation: relation,relations
relative: relative
release: release,released
reliance: reliance
relic: relic,relics
relief: relief
relieve: relieve,relieved
relieved: relieved
relievo: relievo
religion: religion
religious: religious
religiously: religiously
relinquish: relinquish,relinquished,relinquishing
relish: relish
rely: rely
remain: remain,remained,remaining,remains
remainder: remainder
remark: remark,remarked
remarkable: remarkable
remarkably: remarkably
remedy: remedy,remedying
remember: remember,remembered,remembering,remembers
remembrance: remembrance
remind: remind,reminded,reminding,reminds
reminiscence: reminiscence,reminiscences
remissness: remissness
remnant: remnant,remnants
remote: remote
remoteness: remoteness
removal: removal
remove: remove,removed,removing
remunerate: remunerate
rend: rending
render: render,rendered,renders
renew: renew
rent: rent,rents
repair: repair,repairs
repairer: repairer
repast: repast
repeat: repeat,repeated,repeating,repeats
repeatedly: repeatedly
repent: repent
repeople: repeopled
repetition: repetition
reply: replied,reply
report: report,reported,reports
reporter: reporter
repose: repose,reposes
represent: represent,represented,represents
representative: representative
reprint: reprints
reproach: reproach
reproof: reproof,reproofs
reprove: reprove
reptile: reptile
republican: republicans
repudiation: repudiation
repugnance: repugnance
reputation: reputation
request: request,requested
requiem: requiem
require: require,required,requires
requisition: requisitions
rescue: rescue
resemble: resemble,resembled,resembling
reservedly: reservedly
reside: reside
residence: residence
residual: residual
resign: resign,resigned
resignation: resignation
resist: resist,resisted,resisting
resistance: resistance
resistless: resistless
resolute: resolute
resolutely: resolutely
resolution: resolution
resolve: resolve,resolved,resolves
resonance: resonance
resort: resort,resorted
resound: resound,resounded,resounds
resounding: resounding
resource: resources
respect: respect,respected,respecting
respectable: respectable
respected: respected
respective: respective
respects: respects
respite: respite
resplendent: resplendent
respond: responded
response: responses
responsibility: responsibility
responsible: responsible
rest: rest,rested,resting
resting: resting
restless: restless
restlessness: restlessness
restore: restore,restored,restoring
restrain: restrain,restrained
restrict: restricted
result: result
resume: resume,resumed
resurrection: resurrection
retain: retain,retained,retains
retainer: retainer
retard: retard,retarded
retinue: retinue
retire: retired,retires
retirement: retirement
retract: retracting
retreat: retreat,retreated
return: return,returned,returning,returns
reveal: reveal,revealed,reveals
revel: revel
revelation: revelation,revelations
revenge: revenge
reverence: reverence,reverenced,reverencing
reverend: reverend
reverently: reverently
reverse: reversed
revery: revery
review: review,reviews
revise: revising
revisit: revisit
revive: revive,revived,revives,reviving
revolution: revolution,revolutions
revolutionary: revolutionary
revolutionize: revolutionize
revolve: revolve
reward: reward
reynard: reynard
rhetoric: rhetoric
rhine: rhine
rhus: rhus
rhyme: rhyme,rhymes
rib: ribbed,ribs
ribbed: ribbed
ribbon: ribbon
ricardo: ricardo
rice: rice
rich: rich,richer,richest
riches: riches
ricochet: ricochet
rid: rid
ride: ridden,ride,rides,riding
rider: rider
ridge: ridge,ridges
ridiculous: ridiculous
rife: rife
rifle: rifles
rift: rifts
rig: rigged
rightfully: rightfully
rightly: rightly
rigid: rigid
rigmarole: rigmarole
rill: rill,rills
rime: rime
rind: rind
riot: riot
rip: ripped
ripe: ripe
ripen: ripened,ripens
ripeness: ripeness
ripple: ripple,rippled,ripples,rippling
rippled: rippled
rise: rise,risen,rises,rising,rose
risk: risks
rite: rites
river: river,rivers
rivet: rivet
rivulet: rivulets
roach: roach
road: road
roam: roam
roar: roar,roars
roast: roast,roasting
roasted: roasted
rob: robbed,robbing,robs
robber: robber
robbery: robbery
robe: robe
robed: robed
robin: robin
robinson: robinson
robust: robust
rock: rock,rocks
rod: rod,rods
roil: roiling
roll: roll,rolled,rolling,rolls
roman: roman,romans
romance: romance
rome: rome
roof: roof,roofed,roofs
roost: roost,roosts
root: root,rooted,roots
rope: rope
rose: rose
rosette: rosettes
rot: rot,rotted
rotten: rotten
rough: rough
roughly: roughly
roundabout: roundabout
rounded: rounded
rouse: roused
rout: rout
route: route,routes
routine: routine
roving: roving
row: row,rows
rub: rub,rubbed,rubbing
rubber: rubber
ruddy: ruddy
rude: rude,rudest
rudely: rudely
ruder: ruder
rudiment: rudiment
rudimental: rudimental
ruffle: ruffled
rug: rug
ruin: ruin,ruined,ruins
ruinous: ruinous
rule: rule,rules
ruler: ruler,rulers
rum: rum
rumble: rumble,rumbling
rumor: rumor
runaway: runaway
running: running
rupture: rupture
rush: rush,rushes
russet: russet
russia: russia
rust: rust
rustic: rustic
rustle: rustle
rustling: rustling
rusty: rusty
rut: ruts
ruthlessly: ruthlessly
rye: rye
sabbath: sabbath
saccharine: saccharine
sacrament: sacrament
sacred: sacred
sacredness: sacredness
sacrifice: sacrifice,sacrificed,sacrifices,sacrificing
sad: sad
sadden: saddens
saddle: saddle
sadi: sadi
sadly: sadly
sadness: sadness
safe: safe,safest
safely: safely
safety: safety
saffron: saffron
sagacity: sagacity
sage: sage,sages
sahara: sahara
sail: sail,sailed,sailing,sails
sailing: sailing
sailor: sailor,sailors
saint: saint,saints
saith: saith
sake: sake
sal: sal
salable: salable
salamander: salamander
salem: salem
saloon: saloons
salt: salt,salted
salutary: salutary
salutation: salutation
salute: salute,saluted,salutes
sam: sam
samuel: samuel
sanctify: sanctify
sanction: sanction
sand: sand,sanded,sands
sandwich: sandwich
sandy: sandy
sane: sane,saner,sanest
sap: sap
sapling: sapling
sappy: sappy
sapwood: sapwood
sardanapalus: sardanapalus
sardine: sardines
satellite: satellite,satellites
satin: satin
satire: satire
satirical: satirical
satisfaction: satisfaction,satisfactions
satisfactory: satisfactory
satisfied: satisfied
satisfy: satisfy
saturate: saturated
saturation: saturation
saturday: saturday
saturn: saturn
satyr: satyrs
saucer: saucer
saunter: sauntered,sauntering
savage: savage,savages
savageness: savageness
save: save,saves,saving
savor: savor,savors
savoriness: savoriness
sawdust: sawdust
saxon: saxon
scald: scalded
scale: scale,scales
scallop: scalloped
scant: scant
scanty: scanty
scarce: scarce
scarcely: scarcely
scarcity: scarcity
scare: scared,scares,scaring
scarecrow: scarecrow
scarlatina: scarlatina
scarlet: scarlet
scatter: scattered,scattering
scene: scene,scenes
scenery: scenery
scent: scent,scented
scented: scented
scheme: schemes
scholar: scholar,scholars
school: school,schools
schoolmaster: schoolmaster
schooner: schooner
science: science,sciences
scientific: scientific
scintillation: scintillation
sciurus: sciurus
scorch: scorched
score: score,scores
scorn: scorned
scornful: scornful
scotland: scotland
scour: scour
scourge: scourge
scrap: scrap,scraps
scrape: scrape
scratch: scratching
scream: scream,screaming,screams
screech: screech
screw: screws
scripture: scripture,scriptures
scrub: scrubbed
scrutinize: scrutinize
scrutiny: scrutiny
scud: scud
scullion: scullion
sculptor: sculptors
scurf: scurf
scurvy: scurvy
scuttle: scuttle
scyphus: scyphus
sea: sea,seas
seaboard: seaboard
sealer: sealers
seam: seam,seams
seamless: seamless
sear: seared
search: search,searched
seashore: seashore
season: season,seasoned,seasons
seasonable: seasonable
seasoning: seasoning
seat: seat,seated,seats
secluded: secluded
secondary: secondary
secrecy: secrecy
secret: secret,secrets
secretary: secretary
secrete: secreted
sect: sect
secure: secure,secured,secures
securely: securely
sedge: sedge,sedges
sedgy: sedgy
sediment: sediment
sedulously: sedulously
seed: seed,seeds
seek: seek,seeking,seeks,sought
seemingly: seemingly
seer: seer
seething: seething
segment: segment
seize: seize,seized,seizes,seizing
seizure: seizure
seldom: seldom
select: select,selected,selecting
selection: selection
selectman: selectmen
selectmen: selectmen
selfish: selfish
selfishness: selfishness
sell: sell,selling,sells,sold
selvage: selvage
semblance: semblance
senate: senate
send: send,sending,sends
senior: seniors
seniority: seniority
sense: sense
sensibly: sensibly
sensitive: sensitive
sensual: sensual
sensualist: sensualist
sensuality: sensuality
sensually: sensually
sensuous: sensuous
sentence: sentence,sentences
sentiment: sentiments
sentimental: sentimental
sentinel: sentinels
separate: separate,separated,separates,separating
separately: separately
september: september
serenade: serenade,serenaded
serene: serene
serenely: serenely
serenity: serenity
serf: serfs
sergeant: sergeant
seriousness: seriousness
sermon: sermon,sermons
serpent: serpent
servant: servant,servants
serve: serve,served,serves,serving
service: service,services
servile: servile
serving: serving
servitor: servitor
servitude: servitude
set: set,sets,setting
setting: setting
settle: settle,settled,settles,settling
settlement: settlement
settler: settler,settlers
settling: settling
seventeen: seventeen
seventieth: seventieth
sever: severed
severe: severe
severely: severely
seville: seville
sewing: sewing
sex: sex
sexton: sexton
shade: shade,shaded
shades: shades
shadow: shadow,shadows
shadowy: shadowy
shady: shadiest,shady
shaft: shafts
shake: shake,shaking,shook
shakespeare: shakespeare
shallow: shallow,shallower,shallowest
shallows: shallows
sham: shams
shame: shame
shams: shams
shanty: shanties,shanty
shape: shape,shaped
share: share,shared,sharing
sharp: sharp,sharper
sharpen: sharpening
sharply: sharply
shave: shave
shaving: shaving,shavings
sheaf: sheaf
shear: shear,shorn
sheen: sheen
sheep: sheep
sheer: sheer
sheet: sheet,sheets
sheik: sheik
shelf: shelf,shelves
shellfish: shellfish
shelter: shelter,sheltered
sheltered: sheltered
shelve: shelving
shelving: shelving
shepherd: shepherd
sheriff: sheriff
shield: shield
shift: shift
shiftless: shiftless
shiftlessness: shiftlessness
shilling: shillings
shine: shine,shines,shining,shone
shiner: shiner,shiners
shingle: shingle,shingled,shingles
ship: ship
shipload: shiploads
shipping: shipping
shipwreck: shipwrecked
shipwrecked: shipwrecked
shiraz: shiraz
shire: shire
shirk: shirking
shirt: shirt,shirts
shiver: shivered,shivers
shoal: shoal
shoe: shoe,shoes
shoemaker: shoemaker
shoestring: shoestrings
shoot: shoot,shoots,shot
shop: shop,shops
shore: shore,shores
short: short,shorter,shortest
shortcoming: shortcomings
shortly: shortly
shoulder: shoulder,shouldered,shoulders
shout: shout,shouted,shouts
shove: shoved
shovel: shovel
shower: shower,showered,showers
shrewdness: shrewdness
shriek: shriek
shrill: shrill
shrine: shrines
shrink: shrinking
shrub: shrub,shrubs
shuffle: shuffled
shun: shun
shut: shut,shuts,shutting
shutter: shutter
shy: shy
siberia: siberia
sibyl: sibyl
sic: sic
sick: sick
sickness: sickness
sidewalk: sidewalk
sierra: sierra
siesta: siesta
sieve: sieve
sift: sifting
sigh: sigh,sighed,sighs
sight: sight,sights
sign: sign,signed,signs
signal: signal
signify: signified,signify
silence: silence,silences
silent: silent
silently: silently
silicate: silicates
silicious: silicious
silk: silk,silks
sill: sill
sills: sills
silly: silly
silver: silver
silvery: silvery
simmer: simmer
simoom: simoom
simple: simple,simpler,simples,simplest
simplicity: simplicity
simplify: simplifies,simplify
simply: simply
sin: sin,sinned,sinning,sins
sincerely: sincerely
sincerity: sincerity
sinecure: sinecure
sinew: sinews
sing: sang,sing,singing,sings,sung
singing: singing
single: single
singleness: singleness
singular: singular
singularly: singularly
sink: sank,sink,sinking,sinks,sunk
sinner: sinner
sippio: sippio
sir: sir
sirens: sirens
sister: sister
sit: sat,sit,sits,sitting
situate: situated
situation: situation
sixteen: sixteen
sixth: sixth
sizable: sizable
size: size
sized: sized
skate: skated,skating
skater: skater,skaters
skeleton: skeletons
skewer: skewer
skilful: skilful
skilfully: skilfully
skill: skill
skilled: skilled
skillet: skillet
skim: skim,skimmed,skims
skin: skin,skinned,skins
skip: skip,skipping
skirt: skirts
skulk: skulk
skunk: skunk
sky: skies,sky
skylight: skylight
skyrocket: skyrockets
slack: slack,slacked
slag: slag
slant: slanted,slanting
slate: slate
slaughter: slaughter,slaughtering
slave: slave,slaves
slavery: slavery
sled: sled,sledded,sleds
sledge: sledge
sleep: sleep,sleeps,slept
sleeper: sleeper,sleepers
sleepy: sleepy
sleety: sleety
sleeve: sleeve,sleeves
sleigh: sleigh,sleighs
slender: slender
slenderness: slenderness
slew: slew
slice: slice
slide: slid,slide,slides,sliding
slight: slight,slightest
slimy: slimy
slink: slink,slinks
slip: slip,slipped,slips
slit: slit
slop: slop
slope: slope,slopes,sloping
sloth: sloth
slothful: slothful
slough: slough,sloughing,sloughs
slow: slow,slower
slowly: slowly
sluggish: sluggish
sluggishly: sluggishly
slumber: slumber,slumbered,slumbering,slumbers
slumbering: slumbering
slumberous: slumberous
slush: slush
slut: slut
sly: sly
smear: smeared
smell: smell,smelled,smelling,smells
smelt: smelted
smile: smile,smiled,smiles,smiling
smite: smitten
smith: smith
smoke: smoke,smoked
smoking: smoking
smoky: smoky
smooth: smooth,smoothed,smoother
smoothly: smoothly
smoothness: smoothness
smother: smothered
smoulder: smouldering
snake: snake,snakes
snap: snapped,snapping
snare: snares,snaring
snarl: snarl
sneak: sneaking,sneaks
snipe: snipe
snipes: snipes
snivel: snivel
snore: snoring
snort: snort
snout: snout
snow: snow,snows
snowflake: snowflake
snows: snows
snowy: snowy
snug: snug
soak: soak,soaked,soaking
soaking: soaking
soar: soar,soaring,soars
sob: sobs
sober: sober,sobered
sociable: sociable
social: social
societies: societies
society: societies,society
sod: sod,sods
soda: soda
soft: soft
soften: softened
softened: softened
soil: soil,soiled
sojourner: sojourner
soldering: soldering
soldier: soldier,soldiers
sole: sole
solely: solely
solemn: solemn
solemnity: solemnity
solemnly: solemnly
solid: solid
solidago: solidago
solidify: solidified
solidly: solidly
soliloquize: soliloquizing
solitary: solitary
solitude: solitude
solomon: solomon
solve: solve,solved
sombre: sombre
somerset: somerset,somersets
somnolence: somnolence
son: son,sons
song: song,songs
songster: songsters
sonorous: sonorous
sonorously: sonorously
sons: sons
soot: soot
soothe: soothed
soothing: soothing
sordid: sordid
sorrel: sorrel
sorrow: sorrow
sorrowful: sorrowful
sort: sort,sorts
soul: soul,souls
sound: sound,sounded,soundest,sounding,sounds
sounding: soundings
sour: sour
source: source,sources
souring: souring
south: south
southerly: southerly
southern: southern
southward: southward
sovereign: sovereign
sow: sow,sown
sower: sower
space: space,spaces
spacious: spacious
spade: spade,spaded,spades
spain: spain
spanish: spanish
spar: spars
spare: spare,spared
spark: spark,sparks
sparkle: sparkle,sparkles,sparkling
sparrow: sparrow
spartan: spartan
speak: spake,speak,speaking,speaks,spoke,spoken
speaker: speaker
spear: spear
special: special
species: species
specific: specific
specimen: specimens
spectacle: spectacle
spectator: spectator,spectators
spectatordom: spectatordom
speculate: speculate,speculates
speculation: speculation,speculations
speculator: speculator
speech: speech
speed: speed,speeding
speedy: speedy
spell: spell,spells,spelt
spelling: spelling
spence: spence
spend: spend,spending,spent
spending: spending
sphere: sphere,spheres
spherical: spherical
sphinx: sphinx
spica: spica
spider: spider,spiders
spike: spikes
spin: spin,spins,spun
spinning: spinning
spiral: spiral
spire: spiring
spirit: spirit,spirited,spirits
spiritual: spiritual
spiritus: spiritus
spit: spit,spitting
spite: spite
splash: splash
splendid: splendid
splendor: splendor
splinter: splinter
split: split,splits,splitting
splitting: splitting
spoil: spoil,spoiled,spoils
spoken: spoken
spontaneously: spontaneously
spoon: spoon,spoons
sport: sport,sported,sporting,sports
sportsman: sportsman,sportsmen
spot: spot,spots
spotted: spotted
spray: spray,sprays
spread: spread,spreading,spreads
sprightly: sprightly
spring: sprang,spring,springing,springs,sprung
springboard: springboards
springing: springing
springly: springly
springy: springy
sprinkle: sprinkle,sprinkled
sprout: sprout,sprouts
spruce: spruce
spy: spied,spy,spying
squalidness: squalidness
square: square,squares
squashed: squashed
squat: squat,squatted,squatting
squatter: squatter
squaw: squaw
squeak: squeak,squeaking
squeamish: squeamish
squeeze: squeeze
squint: squinting
squire: squire
squirm: squirming
squirrel: squirrel,squirrels
squirrels: squirrels
stable: stable,stables
stabler: stabler
stack: stack,stacked,stacking
staff: staff
stage: stage
stagnant: stagnant
stagnate: stagnate
stagnation: stagnation
stain: stain,stained
stake: stake,staked,stakes
stalactite: stalactite,stalactites
stalk: stalked,stalks
stall: stall
stamp: stamp,stamped,stamping
stampede: stampede
stand: stand,standing,stands,stood
standard: standard
standing: standing
staple: staple,staples
star: star,stars
starch: starch
stare: stared,staring
stark: stark
starry: starry
start: start,started,starting,starts
startle: startled
startling: startling
startlingly: startlingly
starve: starve,starved,starving
starveling: starveling
stately: stately
statement: statement
statesman: statesmen
station: station,stationed
stationery: stationery
statistics: statistics
statuary: statuary
statue: statue
stay: stay,stayed,staying
stead: stead
steadfastness: steadfastness
steadily: steadily
steady: steadier,steady
steal: steal,stealing,steals,stole,stolen
stealthily: stealthily
stealthy: stealthy
steam: steam
steamboat: steamboat
steed: steed
steel: steel
steep: steep
steeple: steeple
steer: steer,steered,steers
steering: steering
stem: stem,stemmed,stems
step: step,stepped,stepping,steps
steppe: steppes
stereotype: stereotype,stereotyped
stereotyped: stereotyped
sterile: sterile
stern: stern
stick: stick,sticks,stuck
stiff: stiff
stiffness: stiffness
stillness: stillness
sting: sting
stint: stint
stir: stir,stirring
stirp: stirp
stirring: stirring
stitch: stitch,stitches
stock: stock,stocked,stocking,stocks
stocking: stockings
stomach: stomach
stone: stone,stoned,stones
stony: stony
stool: stools
stopple: stopples
storage: storage
store: store,stored,stores
storm: storm,stormed,storms
stormy: stormy
story: stories,story
stout: stout
stove: stove,stoves
straggle: straggling
straight: straight
straighten: straighten,straightening
straightway: straightway
strain: strain,strained,straining,strains
strainer: strainer
strait: strait
strand: stranded,strands
strange: strange
strangeness: strangeness
stranger: stranger,strangers
strap: strap
stratum: stratum
straw: straw
strawberry: strawberries,strawberry
stray: stray,straying
streak: streaks
stream: stream,streaming,streams
streamer: streamer
streaming: streaming
street: street,streets
strength: strength
strengthen: strengthened
stress: stress
stretch: stretch,stretched,stretches,stretching
strew: strewed,strewing,strewn
stricken: stricken
strict: strict
strictly: strictly
stride: strides
strike: strike,strikes,striking,struck
string: string,strings,strung
strip: strip,stripped,strips
stripe: stripes
striped: striped
strive: strive,strives
strix: strix
stroke: stroke
stroll: stroll,strolled,strolling
strong: strong,stronger,strongest
structure: structure,structures
struggle: struggle,struggled,struggles,struggling
stubborn: stubborn
stud: studs
student: student,students
studious: studious
study: studied,studies,study,studying
stuff: stuff
stumble: stumble
stump: stump,stumps
stumps: stumps
stun: stunned
stupendous: stupendous
stupid: stupid
stupidity: stupidity
sturdily: sturdily
sturdy: sturdiest,sturdy
sty: sties
stygian: stygian
style: style,styled
styx: styx
subdue: subdue
subject: subject,subjected,subjects
sublime: sublime
sublimity: sublimity
submission: submission
submit: submit
subscribe: subscribed
subscription: subscription
subsequent: subsequent
subside: subsided
subsidence: subsidence
subsistence: subsistence
substance: substance
substantial: substantial
substitute: substitute,substituted,substitutes
subtile: subtile
subtle: subtle
subtler: subtler
subtract: subtract,subtracted
suburban: suburban
succedaneous: succedaneous
succeed: succeed,succeeded,succeeding,succeeds
success: success
successful: successful
succession: succession
successive: successive
successively: successively
successor: successors
succinct: succinct
suck: suck,sucking
sucker: suckers
suckle: suckled
sudden: sudden
suddenly: suddenly
suent: suent
suffer: suffer,suffered,suffering,suffers
sufferance: sufferance
sufferer: sufferer
suffering: suffering
suffice: suffice,sufficed
sufficient: sufficient
suffocate: suffocated
sugar: sugar
suggestion: suggestions
suggestive: suggestive
suicide: suicide
suit: suit,suited
suitable: suitable
sullen: sullen
sulphur: sulphur
sultry: sultry
sum: sum
sumach: sumach,sumachs
summer: summer,summers
summery: summery
summons: summons
sun: sun,sunning,suns
sunburnt: sunburnt
sunday: sunday
sundays: sundays
sunder: sundered
sundown: sundown
sunny: sunny
sunrise: sunrise
sunset: sunset
sunshine: sunshine
